Gene Name	ENSEMBL ID	EBI Protein ID
ABP1	YCR088W	P15891
ACC1	YNR016C	Q00955
ACT1	YFL039C	P60010
ADH1	YOL086C	P00330
ADK1	YDR226W	P07170
ADO1	YJR105W	P47143
AHA1	YDR214W	Q12449
AHP1	YLR109W	P38013
AIM3	YBR108W	P38266
AIP1	YMR092C	P46680
AIR1	YIL079C	P40507
AIR2	YDL175C	Q12476
AKL1	YBR059C	P38080
ALA1	YOR335C	P40825
ALD4	YOR374W	P46367
ALD6	YPL061W	P54115
APA1	YCL050C	P16550
APL5	YPL195W	Q08951
ARB1	YER036C	P40024
ARC1	YGL105W	P46672
ARC40	YBR234C	P38328
ARF1	YDL192W	P11076
ARO2	YGL148W	P28777
ARO8	YGL202W	P53090
ARP3	YJR065C	P47117
ART5	YGR068C	P53244
ARX1	YDR101C	Q03862
ASC1	YMR116C	P38011
BEM2	YER155C	P39960
BER1	YLR412W	Q06688
BFR1	YOR198C	P38934
BFR2	YDR299W	Q06631
BMH1	YER177W	P29311
BMS1	YPL217C	Q08965
BNI5	YNL166C	P53890
BOI1	YBL085W	P38041
BRE5	YNR051C	P53741
BRX1	YOL077C	Q08235
BUD22	YMR014W	Q04347
BUD27	YFL023W	P43573
BUL2	YML111W	Q03758
CAD1	YDR423C	P24813
CAF20	YOR276W	P12962
CAM1	YPL048W	P29547
CBC2	YPL178W	Q08920
CBF5	YLR175W	P33322
CBR1	YIL043C	P38626
CCR4	YAL021C	P31384
CCT4	YDL143W	P39078
CCT8	YJL008C	P47079
CDC19	YAL038W	P00549
CDC3	YLR314C	P32457
CDC33	YOL139C	P07260
CDC37	YDR168W	P06101
CDC48	YDL126C	P25694
CDC53	YDL132W	Q12018
CDC60	YPL160W	P26637
CFT1	YDR301W	Q06632
CGI121	YML036W	Q03705
CHS5	YLR330W	Q12114
CIC1	YHR052W	P38779
CKS1	YBR135W	P20486
CLU1	YMR012W	Q03690
CMK1	YFR014C	P27466
COP1	YDL145C	P53622
CPR1	YDR155C	P14832
CPR6	YLR216C	P53691
CRP1	YHR146W	P38845
CSR1	YLR380W	Q06705
CTK1	YKL139W	Q03957
CTL1	YMR180C	Q03220
CUE2	YKL090W	P36075
CUE3	YGL110C	P53137
CUE5	YOR042W	Q08412
CWC15	YDR163W	Q03772
CWC21	YDR482C	Q03375
CWC22	YGR278W	P53333
CYR1	YJL005W	P08678
DDP1	YOR163W	Q99321
DDR48	YMR173W	P18899
DED1	YOR204W	P06634
DED81	YHR019C	P38707
DEF1	YKL054C	P35732
DET1	YDR051C	Q99288
DHH1	YDL160C	P39517
DIM1	YPL266W	P41819
DIS3	YOL021C	Q08162
DOT1	YDR440W	Q04089
DOT6	YER088C	P40059
DPB4	YDR121W	Q04603
DPH1	YIL103W	P40487
DPS1	YLL018C	P04802
DRS1	YLL008W	P32892
DTD1	YDL219W	Q07648
DUS1	YML080W	P53759
DUS3	YLR401C	Q06053
EAP1	YKL204W	P36041
EBP2	YKL172W	P36049
EBS1	YDR206W	Q03466
ECM16	YMR128W	Q04217
ECM2	YBR065C	P38241
ECM21	YBL101C	P38167
ECM32	YER176W	P32644
EDC3	YEL015W	P39998
EFB1	YAL003W	P32471
EFG1	YGR271C-A	Q3E705
EFR3	YMR212C	Q03653
EFT1	YOR133W	P32324
EIS1	YMR031C	Q05050
ELP3	YPL086C	Q02908
EMG1	YLR186W	Q06287
EMI2	YDR516C	Q04409
ENO1	YGR254W	P00924
ENO2	YHR174W	P00925
ENP1	YBR247C	P38333
ENP2	YGR145W	P48234
ENT5	YDR153C	Q03769
ERG20	YJL167W	P08524
ESC1	YMR219W	Q03661
